No,Lantai,Pos,Tema,Materi,Pertanyaan,,Kategori Pilar,Bentuk Pertanyaan,Skornya berapa?,Catatan
,,,,,https://drive.google.com/drive/folders/1da1JDYvj5RpNv4Io7qnMpJhLCG71OWVS,,,,,
,,,,,,,,,Total: 100,
1,4,9,Ingat Aku (Tebak Tulisan) Teks Gambar di Blur,,"https://drive.google.com/file/d/1S0ZOeETjD1l9xPpoE6KnvIC-_L32vlzL/view?usp=drivesdk Soal: Tulisan apakah ini? 
Jawab: Internet Center",,,Jawaban Singkat,20,
2,4,9,Ingat Aku (Tebak Tulisan) Teks Gambar di Blur,,"https://drive.google.com/file/d/1yJ9kD3DW9WMNNOaea8RKCVixVGANmQEO/view?usp=drivesdk Soal: Tulisan apakah ini?
Jawab: Creative Corner",,,Jawaban Singkat,20,
3,4,9,Ingat Aku (Tebak Tulisan) Teks Gambar di Blur,,"https://drive.google.com/file/d/1J1v_rdHQm7aw_YDemSLYiuJMAaecED4P/view?usp=drivesdk Soal: Tulisan apakah ini?
Jawab: Your Bright Future Starts Here",,,Jawaban Singkat,20,
4,4,9,Ingat Aku (Tebak Tulisan) Teks Gambar di Blur,,"https://drive.google.com/file/d/1QDVanLV67fUH8cRn769xUdYPo7ce17bY/view?usp=drivesdk Soal: Tulisan apakah ini? 
Jawab: Build Ur Own Startup",,,Jawaban Singkat,20,
5,4,9,Ingat Aku (Tebak Tulisan) Teks Gambar di Blur,,"https://drive.google.com/file/d/1Q3Cht2fn4Sn9VxArIEnXH8e3HGwI7t9y/view?usp=drivesdk Soal: Siapa nama 3 tokoh ini? Harus urut!
Jawab: 1. KH. M Hasyim Asyaari
2. KH. Bisri Syansuri
3. KH. Abdul Wahab Chasbullah",,,Jawaban Singkat,20,
,,,,,,,,,Total: 100,
1,5,5,Anti Plagarisme,Definisi & Bentuk-bentuk Plagiarisme,"Petunjuk: Aku adalah tindakan mengambil ide, kalimat, atau karya orang lain lalu mengakuinya sebagai hasil karyamu sendiri tanpa izin atau tanpa menyebut sumbernya. Aku adalah musuh utama dunia akademik. Siapakah aku?
Jawaban: PLAGIAT",,Pilar 4,Tebak Kata,10,Satu Pos
2,5,5,Anti Plagarisme,Teknik Sitasi & Pengutipan,"Petunjuk: Aku adalah bagian kalimat atau paragraf yang kamu ambil persis dari sumber lain, biasanya ditulis di antara tanda petik (""...""), dan wajib disebutkan sumbernya. Tanpa aku disebutkan asalnya, kamu bisa dianggap plagiat. Siapakah aku?
Jawaban: KUTIPAN",,Pilar 4,Tebak Kata,20,
3,5,5,Anti Plagarisme,",Penulisan Daftar Pustaka/Referensi","Petunjuk: Aku adalah daftar sumber (buku, jurnal, artikel, atau website) yang kamu gunakan saat menulis tugas atau skripsi. Aku biasanya muncul di halaman paling akhir sebuah karya tulis. Tanpa aku, pembaca tidak tahu dari mana ide-ide dalam tulisanmu berasal. Siapakah aku?
Jawaban: REFERENSI",,Pilar 4,Tebak Kata,20,
4,5,5,Anti Plagarisme,Etika & Integritas Akademik,"Petunjuk: Aku adalah nilai kejujuran dalam belajar dan berkarya — tidak menyontek, tidak memalsukan data, dan tidak mengaku karya orang lain sebagai milikmu. Kampus sangat menjunjung tinggi diriku. Siapakah aku?
Jawaban: INTEGRITAS AKADEMIK",,Pilar 4,Tebak Kata,25,
5,5,5,Anti Plagarisme,Jenis-jenis Plagiarisme Lanjutan (Self-Plagiarism),"Petunjuk: Aku mirip plagiat, tapi bedanya: yang ""dicuri"" adalah karyamu sendiri! Aku terjadi ketika seseorang mengirim ulang atau menerbitkan kembali tulisannya yang lama tanpa memberi keterangan bahwa itu bukan karya baru. Siapakah aku?
Jawaban: AUTOPLAGIARISME",,Pilar 4,Tebak Kata,25,
,,,,,,,,,Total 100,
1,6,7,Menebak Gambar siapa atau suara dari gambar tersebut,Fun Pos,"https://drive.google.com/file/d/1gSO19MNNdMX5qpbn7At81Fp8ZNKmjiBu/view?usp=drivesdk Soal: Lagu apa yang cocok untukku? dan siapakah aku? Jawab: MBG, Mas Bahlil Ganteng",,,Jawaban Singkat,20,Dua Pos
2,6,7,Menebak Gambar siapa atau suara dari gambar tersebut,Fun Pos,"https://drive.google.com/file/d/1Ov580yOxG6Wt3350XnQcHFaeC8JdSo2m/view?usp=drivesdk Soal: Hari ini di jogja saya akan lawan, Siapakah diriku? dan mana asalku?
Jawab: Jokowi Pria Solo",,,Jawaban Singkat,20,
3,6,7,Menebak Gambar siapa atau suara dari gambar tersebut,Fun Pos,"https://drive.google.com/file/d/1rPBsyOTf8FBT1IYOj0TZCvzIb6GWB1F9/view?usp=drivesdk Soal: Siapa tokoh bersejarah ini? Dan apa kalimat motivasi nya?
Jawab: Prabowo, Saatnya untuk nyawit",,,Jawaban Singkat,20,
4,6,7,Menebak Gambar siapa atau suara dari gambar tersebut,Fun Pos,"https://drive.google.com/file/d/1a6p4BbTwVNhLoulpsjlf7w7e6Hi6vm59/view?usp=drivesdk Soal: Aku adalah saudaramu, siapakah aku?
Jawab: monyet",,,Jawaban Singkat,20,
5,6,7,Menebak Gambar siapa atau suara dari gambar tersebut,Fun Pos,"https://drive.google.com/file/d/1K_JfdcvOdBC-rmtSmCUdyzH_OMzgE7xH/view?usp=drivesdk Soal: Suaraku merdu seperti Ajeng Febri, siapakah aku? Dan bagaimana suaraku?
Jawab: Sapi, mohhh",,,Jawaban Singkat,20,
,,,,,,,,,,
1,6,8,Ingat Aku (Tebak Posisi) Gambar ada di sebelah mana atau lanta berapa,Fun game ,https://drive.google.com/file/d/1Yyxf7m4tb83xOGe0IH4q72t4lSQsG2yW/view?usp=drivesdk,,,jawaban singkat ,20,
,,,,,Pertanyaan : Ada di lantai berapakah aku? jawaban Lantai 2 amphiteater ,,,,,
2,6,8,Ingat Aku (Tebak Posisi) Gambar ada di sebelah mana atau lantai berapa,Fun game,https://drive.google.com/file/d/1alaoLPnHhU-nbpyGPt2UtsV0O9s7P26E/view?usp=drivesdk,,,jawaban singkat,20,
,,,,,Pertanyaan : Ada dilantai berapakah aku? jawaban Lantai 4,,,,,
3,6,8,Ingat Aku (Tebak Posisi) Gambar ada di sebelah mana atau lantai berapa,Fun game,https://drive.google.com/file/d/1AeC5fxt5jaWec-QrNY0XItnka6K3HW-Q/view?usp=drivesdk,,,jawaban singkat,20,
,,,,,Pertanyaan : Ada di lantai berapakah aku? jawaban Lantai  1,,,,,
4,6,8,Ingat Aku (Tebak Posisi) Gambar ada di sebelah mana atau lantai berapa,Fun game,https://drive.google.com/file/d/1Ksd55wXqi0DsP7hzjZMmJToKdiFwOSuU/view?usp=drivesdk,,,jawaban singkat,20,
,,,,,Pertanyaan : Ada di lantai berapakah aku? jawaban Lantai 4,,,,,
5,6,8,Ingat Aku (Tebak Posisi) Gambar ada di sebelah mana atau lantai berapa,Fun game,https://drive.google.com/file/d/1wRZ-7UQjUqCKdsBCd8mgN3aIgnEyyHLb/view?usp=drivesdk,,,jawaban singkat,20,
,,,,,Pertanyaan : Ada di lantai berapakah aku? jawaban Lantai 3,,,,,
,,,,,,,,,Total 100,
